date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:29	61185/61185	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:23%20GMT	http://www.tailorspoint.com/products/ethnic-wear/sherwani	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/ethnic-wear/sherwani.html	(from http://www.tailorspoint.com/about_us)
19:40:29	61179/61179	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:24%20GMT	http://www.tailorspoint.com/products/ethnic-wear/nawabi	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/ethnic-wear/nawabi.html	(from http://www.tailorspoint.com/about_us)
19:40:32	61188/61188	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:27%20GMT	http://www.tailorspoint.com/products/ethnic-wear/bandhgala	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/ethnic-wear/bandhgala.html	(from http://www.tailorspoint.com/about_us)
19:40:37	61176/61176	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:31%20GMT	http://www.tailorspoint.com/products/ethnic-wear/bundi	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/ethnic-wear/bundi.html	(from http://www.tailorspoint.com/about_us)
19:40:37	60997/60997	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:32%20GMT	http://www.tailorspoint.com/products/party-wear	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/party-wear.html	(from http://www.tailorspoint.com/about_us)
19:40:38	61179/61179	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:33%20GMT	http://www.tailorspoint.com/products/party-wear/tuxedos	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/party-wear/tuxedos.html	(from http://www.tailorspoint.com/about_us)
19:40:39	61000/61000	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:34%20GMT	http://www.tailorspoint.com/products/formal-wear	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/formal-wear.html	(from http://www.tailorspoint.com/about_us)
19:40:44	61176/61176	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:39%20GMT	http://www.tailorspoint.com/products/formal-wear/suits	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/formal-wear/suits.html	(from http://www.tailorspoint.com/about_us)
19:40:44	43415/43415	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:40%20GMT	http://www.tailorspoint.com/stories	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/stories.html	(from http://www.tailorspoint.com/about_us)
19:40:44	43795/43795	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:41%20GMT	http://www.tailorspoint.com/stores	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/stores.html	(from http://www.tailorspoint.com/about_us)
